TICK  378 - RF1=SP | SP=264/0x108
TICK  379 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  380 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  381 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  382 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  383 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  384 - RM2<-#1; PC++ | SP=264/0x108
TICK  385 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  386 - RF1<-SP | RF1=264/0x108
TICK  387 - RM1<-memD[108] | RM1=1/0x1
TICK  388 - RM1<-memD[109] | RM1=1/0x1
TICK  389 - RM1<-memD[10A] | RM1=1/0x1
TICK  390 - RM1<-memD[10B] | RM1=   1/0x1
TICK  391 - SP=SP+4 | SP=264/0x108
TICK  392 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  393 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  394 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  395 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  396 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  397 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  398 - PC<-memI[0x2]| PC=2/0x2
TICK  399 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  400 - RM1<-#1; PC++ | SP=268/0x10C
------------Entering Interruption 1, value=111/0x6F------------
TICK  401 @ 0x62820000 -  IN Byte; PC++ | PC=15/0xF
TICK  402 - RInData <- port Char (111/0x6F) | RInData=111/0x6F
